Study Name,Authors,Year,DOI/URL,Dataset,Study Description,Paradigm Type,Stimulus Type,Stimulus Description,Composer,Passage Name,Passage Length,Musical Features Analyzed,Task Description,Number of Participants,Demographics,Musical Training,EEG System Used,Channel Count,Findings,Sampling Rate,Recording Environment,Data Format,Preprocessing,License,EEG Analysis Techniques,Statistical Tests,Event Markers,Publication
The Effect of Music Listening on EEG Functional Connectivity of Brain: A Short-Duration and Long-Duration Study,"Danyal Mahmood, Humaira Nisar, Vooi Voon Yap, Chi-Yi Tsai",2022,https://doi.org/10.3390/math10030349,NA,Short-duration study comparing EEG-FC after listening to favorite vs. relaxing music,Controlled,Complete Musical Piece,Favorite music chosen by participant,Varied (participant-selected),NA,~5 minutes,"Functional connectivity, EEG frequency bands (delta, theta, alpha, beta)",Passive listening while EEG recorded; comparisons made to pre-music baseline,Not Reported,Not Reported,Not Reported,Emotiv EPOC,"14 channels, 10-20 system",Alpha and beta band connectivity increased more after favorite music than relaxing music; theta band increased more after relaxing music,128 Hz,Sound-treated room,Digital EEG traces,"Bandpass filtering (0.5–60 Hz), ICA for ocular artifact, MATLAB-based frequency decomposition",Creative Commons Attribution (CC BY),"Inter-Site Phase Clustering (ISPC), Graph theory, Connectivity matrices","ANOVA, t-test",Time-locked to start of stimulus,Mathematics 10(3):349
The Effect of Music Listening on EEG Functional Connectivity of Brain: A Short-Duration and Long-Duration Study,"Danyal Mahmood, Humaira Nisar, Vooi Voon Yap, Chi-Yi Tsai",2022,https://doi.org/10.3390/math10030349,NA,Short-duration study comparing EEG-FC after listening to favorite vs. relaxing music,Controlled,Complete Musical Piece,Relaxing music with alpha binaural beats,NA,NA,~5 minutes,"Functional connectivity, EEG frequency bands (delta, theta, alpha, beta)",Passive listening while EEG recorded; comparisons made to pre-music baseline,Not Reported,Not Reported,Not Reported,Emotiv EPOC,"14 channels, 10-20 system",Relaxing music increased theta and average connectivity more than favorite music; showed stronger relaxation-related FC changes,128 Hz,Sound-treated room,Digital EEG traces,"Bandpass filtering (0.5–60 Hz), ICA for ocular artifact, MATLAB-based frequency decomposition",Creative Commons Attribution (CC BY),"Inter-Site Phase Clustering (ISPC), Graph theory, Connectivity matrices","ANOVA, t-test",Time-locked to start of stimulus,Mathematics 10(3):349
The Effect of Music Listening on EEG Functional Connectivity of Brain: A Short-Duration and Long-Duration Study,"Danyal Mahmood, Humaira Nisar, Vooi Voon Yap, Chi-Yi Tsai",2022,https://doi.org/10.3390/math10030349,NA,Long-duration study assessing daily music listening impact on EEG-FC,Controlled,Complete Musical Piece,Relaxing music with alpha binaural beats over 2 weeks,NA,NA,30 minutes/day for 14 days,"Functional connectivity, EEG frequency bands (delta, theta, alpha, beta)","Music Listening Group listened daily; EEG at baseline, week 1, and week 2",Not Reported,Not Reported,Not Reported,Emotiv EPOC,"14 channels, 10-20 system","Increased delta, alpha, and beta connectivity over time in the Music Listening Group; Control group showed no significant changes",128 Hz,Sound-treated room,Digital EEG traces,"Bandpass filtering (0.5–60 Hz), ICA for ocular artifact, MATLAB-based frequency decomposition",Creative Commons Attribution (CC BY),"Inter-Site Phase Clustering (ISPC), Graph theory, Connectivity matrices","ANOVA, t-test",Time-locked to weekly measurement,Mathematics 10(3):349
Inter-subject correlations of EEG reflect subjective arousal and acoustic features of music,"Fuyu Ueno, Sotaro Shimada",2023,https://doi.org/10.3389/fnhum.2023.1225377,NA,This study used concurrent EEG-fMRI and EEG-only recordings to reconstruct music perception from brain activity using source-localized EEG and neural decoding models. Examines whether EEG ISC reflects population music preferences using Billboard chart songs.,Controlled,Musical Excerpt,"1 on Billboard Japan Hot 100. 62-second edited clip including chorus and surrounding sections, normalized with fade-in and fade-out",Gen Hoshino,Koi,62 seconds,"Tonality, Tempo, EEG ISC, Principal Component Analysis","EEG during passive music listening followed by self-report of preference, enjoyment, frequency of listening, and arousal",17,"Healthy Japanese adults, mean age 21.4 ± 0.69, 7 female",Mixed Groups,"g.tec (BCI Research System), 30-channel setup","30 channels, 10-20 system","Higher-ranked music had significantly higher ISC values, suggesting greater listener engagement. Principal component analysis also revealed distinct clusters differing in arousal, tonality, and tempo—linking ISC to both emotional response and musical features.",512 Hz,"Lab with headphones, visual fixation cross",Not Reported,"Bandpass 1–60 Hz, 50Hz notch filter, ICA, CorrCA",CC BY,"ISC, CorrCA, PCA, clustering, GLM","t-test, ANOVA, Tukey’s HSD",Not Reported,Frontiers in Human Neuroscience Volume 17 (2023)
Inter-subject correlations of EEG reflect subjective arousal and acoustic features of music,"Fuyu Ueno, Sotaro Shimada",2023,https://doi.org/10.3389/fnhum.2023.1225377,NA,This study used concurrent EEG-fMRI and EEG-only recordings to reconstruct music perception from brain activity using source-localized EEG and neural decoding models. Examines whether EEG ISC reflects population music preferences using Billboard chart songs.,Controlled,Musical Excerpt,"2 on Billboard Japan Hot 100. 62-second edited clip including chorus and surrounding sections, normalized with fade-in and fade-out",Ed Sheeran,Shape of You,62 seconds,"Tonality, Tempo, EEG ISC, Principal Component Analysis","EEG during passive music listening followed by self-report of preference, enjoyment, frequency of listening, and arousal",17,"Healthy Japanese adults, mean age 21.4 ± 0.69, 7 female",Mixed Groups,"g.tec (BCI Research System), 30-channel setup","30 channels, 10-20 system","Higher-ranked music had significantly higher ISC values, suggesting greater listener engagement. Principal component analysis also revealed distinct clusters differing in arousal, tonality, and tempo—linking ISC to both emotional response and musical features.",512 Hz,"Lab with headphones, visual fixation cross",Not Reported,"Bandpass 1–60 Hz, 50Hz notch filter, ICA, CorrCA",CC BY,"ISC, CorrCA, PCA, clustering, GLM","t-test, ANOVA, Tukey’s HSD",Not Reported,Frontiers in Human Neuroscience Volume 17 (2023)
Inter-subject correlations of EEG reflect subjective arousal and acoustic features of music,"Fuyu Ueno, Sotaro Shimada",2023,https://doi.org/10.3389/fnhum.2023.1225377,NA,This study used concurrent EEG-fMRI and EEG-only recordings to reconstruct music perception from brain activity using source-localized EEG and neural decoding models. Examines whether EEG ISC reflects population music preferences using Billboard chart songs.,Controlled,Musical Excerpt,"3 on Billboard Japan Hot 100. 62-second edited clip including chorus and surrounding sections, normalized with fade-in and fade-out",Daoko X Kenshi Yonezu,Uchiage Hanabi,62 seconds,"Tonality, Tempo, EEG ISC, Principal Component Analysis","EEG during passive music listening followed by self-report of preference, enjoyment, frequency of listening, and arousal",17,"Healthy Japanese adults, mean age 21.4 ± 0.69, 7 female",Mixed Groups,"g.tec (BCI Research System), 30-channel setup","30 channels, 10-20 system","Higher-ranked music had significantly higher ISC values, suggesting greater listener engagement. Principal component analysis also revealed distinct clusters differing in arousal, tonality, and tempo—linking ISC to both emotional response and musical features.",512 Hz,"Lab with headphones, visual fixation cross",Not Reported,"Bandpass 1–60 Hz, 50Hz notch filter, ICA, CorrCA",CC BY,"ISC, CorrCA, PCA, clustering, GLM","t-test, ANOVA, Tukey’s HSD",Not Reported,Frontiers in Human Neuroscience Volume 17 (2023)
Inter-subject correlations of EEG reflect subjective arousal and acoustic features of music,"Fuyu Ueno, Sotaro Shimada",2023,https://doi.org/10.3389/fnhum.2023.1225377,NA,This study used concurrent EEG-fMRI and EEG-only recordings to reconstruct music perception from brain activity using source-localized EEG and neural decoding models. Examines whether EEG ISC reflects population music preferences using Billboard chart songs.,Controlled,Musical Excerpt,"4 on Billboard Japan Hot 100. 62-second edited clip including chorus and surrounding sections, normalized with fade-in and fade-out",Keyakizaka46,Fukyōwaon,62 seconds,"Tonality, Tempo, EEG ISC, Principal Component Analysis","EEG during passive music listening followed by self-report of preference, enjoyment, frequency of listening, and arousal",17,"Healthy Japanese adults, mean age 21.4 ± 0.69, 7 female",Mixed Groups,"g.tec (BCI Research System), 30-channel setup","30 channels, 10-20 system","Higher-ranked music had significantly higher ISC values, suggesting greater listener engagement. Principal component analysis also revealed distinct clusters differing in arousal, tonality, and tempo—linking ISC to both emotional response and musical features.",512 Hz,"Lab with headphones, visual fixation cross",Not Reported,"Bandpass 1–60 Hz, 50Hz notch filter, ICA, CorrCA",CC BY,"ISC, CorrCA, PCA, clustering, GLM","t-test, ANOVA, Tukey’s HSD",Not Reported,Frontiers in Human Neuroscience Volume 17 (2023)
Inter-subject correlations of EEG reflect subjective arousal and acoustic features of music,"Fuyu Ueno, Sotaro Shimada",2023,https://doi.org/10.3389/fnhum.2023.1225377,NA,This study used concurrent EEG-fMRI and EEG-only recordings to reconstruct music perception from brain activity using source-localized EEG and neural decoding models. Examines whether EEG ISC reflects population music preferences using Billboard chart songs.,Controlled,Musical Excerpt,"5 on Billboard Japan Hot 100. 62-second edited clip including chorus and surrounding sections, normalized with fade-in and fade-out",Keyakizaka46,Futari Saison,62 seconds,"Tonality, Tempo, EEG ISC, Principal Component Analysis","EEG during passive music listening followed by self-report of preference, enjoyment, frequency of listening, and arousal",17,"Healthy Japanese adults, mean age 21.4 ± 0.69, 7 female",Mixed Groups,"g.tec (BCI Research System), 30-channel setup","30 channels, 10-20 system","Higher-ranked music had significantly higher ISC values, suggesting greater listener engagement. Principal component analysis also revealed distinct clusters differing in arousal, tonality, and tempo—linking ISC to both emotional response and musical features.",512 Hz,"Lab with headphones, visual fixation cross",Not Reported,"Bandpass 1–60 Hz, 50Hz notch filter, ICA, CorrCA",CC BY,"ISC, CorrCA, PCA, clustering, GLM","t-test, ANOVA, Tukey’s HSD",Not Reported,Frontiers in Human Neuroscience Volume 17 (2023)
Inter-subject correlations of EEG reflect subjective arousal and acoustic features of music,"Fuyu Ueno, Sotaro Shimada",2023,https://doi.org/10.3389/fnhum.2023.1225377,NA,This study used concurrent EEG-fMRI and EEG-only recordings to reconstruct music perception from brain activity using source-localized EEG and neural decoding models. Examines whether EEG ISC reflects population music preferences using Billboard chart songs.,Controlled,Musical Excerpt,"6 on Billboard Japan Hot 100. 62-second edited clip including chorus and surrounding sections, normalized with fade-in and fade-out",Twice,TT,62 seconds,"Tonality, Tempo, EEG ISC, Principal Component Analysis","EEG during passive music listening followed by self-report of preference, enjoyment, frequency of listening, and arousal",17,"Healthy Japanese adults, mean age 21.4 ± 0.69, 7 female",Mixed Groups,"g.tec (BCI Research System), 30-channel setup","30 channels, 10-20 system","Higher-ranked music had significantly higher ISC values, suggesting greater listener engagement. Principal component analysis also revealed distinct clusters differing in arousal, tonality, and tempo—linking ISC to both emotional response and musical features.",512 Hz,"Lab with headphones, visual fixation cross",Not Reported,"Bandpass 1–60 Hz, 50Hz notch filter, ICA, CorrCA",CC BY,"ISC, CorrCA, PCA, clustering, GLM","t-test, ANOVA, Tukey’s HSD",Not Reported,Frontiers in Human Neuroscience Volume 17 (2023)
Inter-subject correlations of EEG reflect subjective arousal and acoustic features of music,"Fuyu Ueno, Sotaro Shimada",2023,https://doi.org/10.3389/fnhum.2023.1225377,NA,This study used concurrent EEG-fMRI and EEG-only recordings to reconstruct music perception from brain activity using source-localized EEG and neural decoding models. Examines whether EEG ISC reflects population music preferences using Billboard chart songs.,Controlled,Musical Excerpt,"7 on Billboard Japan Hot 100. 62-second edited clip including chorus and surrounding sections, normalized with fade-in and fade-out",Nogizaka 46,Influencer,62 seconds,"Tonality, Tempo, EEG ISC, Principal Component Analysis","EEG during passive music listening followed by self-report of preference, enjoyment, frequency of listening, and arousal",17,"Healthy Japanese adults, mean age 21.4 ± 0.69, 7 female",Mixed Groups,"g.tec (BCI Research System), 30-channel setup","30 channels, 10-20 system","Higher-ranked music had significantly higher ISC values, suggesting greater listener engagement. Principal component analysis also revealed distinct clusters differing in arousal, tonality, and tempo—linking ISC to both emotional response and musical features.",512 Hz,"Lab with headphones, visual fixation cross",Not Reported,"Bandpass 1–60 Hz, 50Hz notch filter, ICA, CorrCA",CC BY,"ISC, CorrCA, PCA, clustering, GLM","t-test, ANOVA, Tukey’s HSD",Not Reported,Frontiers in Human Neuroscience Volume 17 (2023)
Inter-subject correlations of EEG reflect subjective arousal and acoustic features of music,"Fuyu Ueno, Sotaro Shimada",2023,https://doi.org/10.3389/fnhum.2023.1225377,NA,This study used concurrent EEG-fMRI and EEG-only recordings to reconstruct music perception from brain activity using source-localized EEG and neural decoding models. Examines whether EEG ISC reflects population music preferences using Billboard chart songs.,Controlled,Musical Excerpt,"8 on Billboard Japan Hot 100. 62-second edited clip including chorus and surrounding sections, normalized with fade-in and fade-out",Pikotaro,PPAP (Pen-Pineapple-Apple-Pen),62 seconds,"Tonality, Tempo, EEG ISC, Principal Component Analysis","EEG during passive music listening followed by self-report of preference, enjoyment, frequency of listening, and arousal",17,"Healthy Japanese adults, mean age 21.4 ± 0.69, 7 female",Mixed Groups,"g.tec (BCI Research System), 30-channel setup","30 channels, 10-20 system","Higher-ranked music had significantly higher ISC values, suggesting greater listener engagement. Principal component analysis also revealed distinct clusters differing in arousal, tonality, and tempo—linking ISC to both emotional response and musical features.",512 Hz,"Lab with headphones, visual fixation cross",Not Reported,"Bandpass 1–60 Hz, 50Hz notch filter, ICA, CorrCA",CC BY,"ISC, CorrCA, PCA, clustering, GLM","t-test, ANOVA, Tukey’s HSD",Not Reported,Frontiers in Human Neuroscience Volume 17 (2023)
Inter-subject correlations of EEG reflect subjective arousal and acoustic features of music,"Fuyu Ueno, Sotaro Shimada",2023,https://doi.org/10.3389/fnhum.2023.1225377,NA,This study used concurrent EEG-fMRI and EEG-only recordings to reconstruct music perception from brain activity using source-localized EEG and neural decoding models. Examines whether EEG ISC reflects population music preferences using Billboard chart songs.,Controlled,Musical Excerpt,"9 on Billboard Japan Hot 100. 62-second edited clip including chorus and surrounding sections, normalized with fade-in and fade-out",Radwimps,Zenzenzense,62 seconds,"Tonality, Tempo, EEG ISC, Principal Component Analysis","EEG during passive music listening followed by self-report of preference, enjoyment, frequency of listening, and arousal",17,"Healthy Japanese adults, mean age 21.4 ± 0.69, 7 female",Mixed Groups,"g.tec (BCI Research System), 30-channel setup","30 channels, 10-20 system","Higher-ranked music had significantly higher ISC values, suggesting greater listener engagement. Principal component analysis also revealed distinct clusters differing in arousal, tonality, and tempo—linking ISC to both emotional response and musical features.",512 Hz,"Lab with headphones, visual fixation cross",Not Reported,"Bandpass 1–60 Hz, 50Hz notch filter, ICA, CorrCA",CC BY,"ISC, CorrCA, PCA, clustering, GLM","t-test, ANOVA, Tukey’s HSD",Not Reported,Frontiers in Human Neuroscience Volume 17 (2023)
Inter-subject correlations of EEG reflect subjective arousal and acoustic features of music,"Fuyu Ueno, Sotaro Shimada",2023,https://doi.org/10.3389/fnhum.2023.1225377,NA,This study used concurrent EEG-fMRI and EEG-only recordings to reconstruct music perception from brain activity using source-localized EEG and neural decoding models. Examines whether EEG ISC reflects population music preferences using Billboard chart songs.,Controlled,Musical Excerpt,"10 on Billboard Japan Hot 100. 62-second edited clip including chorus and surrounding sections, normalized with fade-in and fade-out",Keyakizaka46,Silent Majority,62 seconds,"Tonality, Tempo, EEG ISC, Principal Component Analysis","EEG during passive music listening followed by self-report of preference, enjoyment, frequency of listening, and arousal",17,"Healthy Japanese adults, mean age 21.4 ± 0.69, 7 female",Mixed Groups,"g.tec (BCI Research System), 30-channel setup","30 channels, 10-20 system","Higher-ranked music had significantly higher ISC values, suggesting greater listener engagement. Principal component analysis also revealed distinct clusters differing in arousal, tonality, and tempo—linking ISC to both emotional response and musical features.",512 Hz,"Lab with headphones, visual fixation cross",Not Reported,"Bandpass 1–60 Hz, 50Hz notch filter, ICA, CorrCA",CC BY,"ISC, CorrCA, PCA, clustering, GLM","t-test, ANOVA, Tukey’s HSD",Not Reported,Frontiers in Human Neuroscience Volume 17 (2023)
Inter-subject correlations of EEG reflect subjective arousal and acoustic features of music,"Fuyu Ueno, Sotaro Shimada",2023,https://doi.org/10.3389/fnhum.2023.1225377,NA,This study used concurrent EEG-fMRI and EEG-only recordings to reconstruct music perception from brain activity using source-localized EEG and neural decoding models. Examines whether EEG ISC reflects population music preferences using Billboard chart songs.,Controlled,Musical Excerpt,"11 on Billboard Japan Hot 100. 62-second edited clip including chorus and surrounding sections, normalized with fade-in and fade-out",Austin Mahone,Dirty Work,62 seconds,"Tonality, Tempo, EEG ISC, Principal Component Analysis","EEG during passive music listening followed by self-report of preference, enjoyment, frequency of listening, and arousal",17,"Healthy Japanese adults, mean age 21.4 ± 0.69, 7 female",Mixed Groups,"g.tec (BCI Research System), 30-channel setup","30 channels, 10-20 system","Higher-ranked music had significantly higher ISC values, suggesting greater listener engagement. Principal component analysis also revealed distinct clusters differing in arousal, tonality, and tempo—linking ISC to both emotional response and musical features.",512 Hz,"Lab with headphones, visual fixation cross",Not Reported,"Bandpass 1–60 Hz, 50Hz notch filter, ICA, CorrCA",CC BY,"ISC, CorrCA, PCA, clustering, GLM","t-test, ANOVA, Tukey’s HSD",Not Reported,Frontiers in Human Neuroscience Volume 17 (2023)
Inter-subject correlations of EEG reflect subjective arousal and acoustic features of music,"Fuyu Ueno, Sotaro Shimada",2023,https://doi.org/10.3389/fnhum.2023.1225377,NA,This study used concurrent EEG-fMRI and EEG-only recordings to reconstruct music perception from brain activity using source-localized EEG and neural decoding models. Examines whether EEG ISC reflects population music preferences using Billboard chart songs.,Controlled,Musical Excerpt,"12 on Billboard Japan Hot 100. 62-second edited clip including chorus and surrounding sections, normalized with fade-in and fade-out",Nogizaka 46,Nigemizu,62 seconds,"Tonality, Tempo, EEG ISC, Principal Component Analysis","EEG during passive music listening followed by self-report of preference, enjoyment, frequency of listening, and arousal",17,"Healthy Japanese adults, mean age 21.4 ± 0.69, 7 female",Mixed Groups,"g.tec (BCI Research System), 30-channel setup","30 channels, 10-20 system","Higher-ranked music had significantly higher ISC values, suggesting greater listener engagement. Principal component analysis also revealed distinct clusters differing in arousal, tonality, and tempo—linking ISC to both emotional response and musical features.",512 Hz,"Lab with headphones, visual fixation cross",Not Reported,"Bandpass 1–60 Hz, 50Hz notch filter, ICA, CorrCA",CC BY,"ISC, CorrCA, PCA, clustering, GLM","t-test, ANOVA, Tukey’s HSD",Not Reported,Frontiers in Human Neuroscience Volume 17 (2023)
Inter-subject correlations of EEG reflect subjective arousal and acoustic features of music,"Fuyu Ueno, Sotaro Shimada",2023,https://doi.org/10.3389/fnhum.2023.1225377,NA,This study used concurrent EEG-fMRI and EEG-only recordings to reconstruct music perception from brain activity using source-localized EEG and neural decoding models. Examines whether EEG ISC reflects population music preferences using Billboard chart songs.,Controlled,Musical Excerpt,"13 on Billboard Japan Hot 100. 62-second edited clip including chorus and surrounding sections, normalized with fade-in and fade-out",Gen Hoshino,Family Song,62 seconds,"Tonality, Tempo, EEG ISC, Principal Component Analysis","EEG during passive music listening followed by self-report of preference, enjoyment, frequency of listening, and arousal",17,"Healthy Japanese adults, mean age 21.4 ± 0.69, 7 female",Mixed Groups,"g.tec (BCI Research System), 30-channel setup","30 channels, 10-20 system","Higher-ranked music had significantly higher ISC values, suggesting greater listener engagement. Principal component analysis also revealed distinct clusters differing in arousal, tonality, and tempo—linking ISC to both emotional response and musical features.",512 Hz,"Lab with headphones, visual fixation cross",Not Reported,"Bandpass 1–60 Hz, 50Hz notch filter, ICA, CorrCA",CC BY,"ISC, CorrCA, PCA, clustering, GLM","t-test, ANOVA, Tukey’s HSD",Not Reported,Frontiers in Human Neuroscience Volume 17 (2023)
Inter-subject correlations of EEG reflect subjective arousal and acoustic features of music,"Fuyu Ueno, Sotaro Shimada",2023,https://doi.org/10.3389/fnhum.2023.1225377,NA,This study used concurrent EEG-fMRI and EEG-only recordings to reconstruct music perception from brain activity using source-localized EEG and neural decoding models. Examines whether EEG ISC reflects population music preferences using Billboard chart songs.,Controlled,Musical Excerpt,"14 on Billboard Japan Hot 100. 62-second edited clip including chorus and surrounding sections, normalized with fade-in and fade-out",Kenshi Yonezu,Peace Sign,62 seconds,"Tonality, Tempo, EEG ISC, Principal Component Analysis","EEG during passive music listening followed by self-report of preference, enjoyment, frequency of listening, and arousal",17,"Healthy Japanese adults, mean age 21.4 ± 0.69, 7 female",Mixed Groups,"g.tec (BCI Research System), 30-channel setup","30 channels, 10-20 system","Higher-ranked music had significantly higher ISC values, suggesting greater listener engagement. Principal component analysis also revealed distinct clusters differing in arousal, tonality, and tempo—linking ISC to both emotional response and musical features.",512 Hz,"Lab with headphones, visual fixation cross",Not Reported,"Bandpass 1–60 Hz, 50Hz notch filter, ICA, CorrCA",CC BY,"ISC, CorrCA, PCA, clustering, GLM","t-test, ANOVA, Tukey’s HSD",Not Reported,Frontiers in Human Neuroscience Volume 17 (2023)
Inter-subject correlations of EEG reflect subjective arousal and acoustic features of music,"Fuyu Ueno, Sotaro Shimada",2023,https://doi.org/10.3389/fnhum.2023.1225377,NA,This study used concurrent EEG-fMRI and EEG-only recordings to reconstruct music perception from brain activity using source-localized EEG and neural decoding models. Examines whether EEG ISC reflects population music preferences using Billboard chart songs.,Controlled,Musical Excerpt,"15 on Billboard Japan Hot 100. 62-second edited clip including chorus and surrounding sections, normalized with fade-in and fade-out",AKB48,Negaigoto no Mochigusare,62 seconds,"Tonality, Tempo, EEG ISC, Principal Component Analysis","EEG during passive music listening followed by self-report of preference, enjoyment, frequency of listening, and arousal",17,"Healthy Japanese adults, mean age 21.4 ± 0.69, 7 female",Mixed Groups,"g.tec (BCI Research System), 30-channel setup","30 channels, 10-20 system","Higher-ranked music had significantly higher ISC values, suggesting greater listener engagement. Principal component analysis also revealed distinct clusters differing in arousal, tonality, and tempo—linking ISC to both emotional response and musical features.",512 Hz,"Lab with headphones, visual fixation cross",Not Reported,"Bandpass 1–60 Hz, 50Hz notch filter, ICA, CorrCA",CC BY,"ISC, CorrCA, PCA, clustering, GLM","t-test, ANOVA, Tukey’s HSD",Not Reported,Frontiers in Human Neuroscience Volume 17 (2023)
Inter-subject correlations of EEG reflect subjective arousal and acoustic features of music,"Fuyu Ueno, Sotaro Shimada",2023,https://doi.org/10.3389/fnhum.2023.1225377,NA,This study used concurrent EEG-fMRI and EEG-only recordings to reconstruct music perception from brain activity using source-localized EEG and neural decoding models. Examines whether EEG ISC reflects population music preferences using Billboard chart songs.,Controlled,Musical Excerpt,"16 on Billboard Japan Hot 100. 62-second edited clip including chorus and surrounding sections, normalized with fade-in and fade-out",Nogizaka 46,Itsuka Dekiru kara Kyō Dekiru,62 seconds,"Tonality, Tempo, EEG ISC, Principal Component Analysis","EEG during passive music listening followed by self-report of preference, enjoyment, frequency of listening, and arousal",17,"Healthy Japanese adults, mean age 21.4 ± 0.69, 7 female",Mixed Groups,"g.tec (BCI Research System), 30-channel setup","30 channels, 10-20 system","Higher-ranked music had significantly higher ISC values, suggesting greater listener engagement. Principal component analysis also revealed distinct clusters differing in arousal, tonality, and tempo—linking ISC to both emotional response and musical features.",512 Hz,"Lab with headphones, visual fixation cross",Not Reported,"Bandpass 1–60 Hz, 50Hz notch filter, ICA, CorrCA",CC BY,"ISC, CorrCA, PCA, clustering, GLM","t-test, ANOVA, Tukey’s HSD",Not Reported,Frontiers in Human Neuroscience Volume 17 (2023)
Inter-subject correlations of EEG reflect subjective arousal and acoustic features of music,"Fuyu Ueno, Sotaro Shimada",2023,https://doi.org/10.3389/fnhum.2023.1225377,NA,This study used concurrent EEG-fMRI and EEG-only recordings to reconstruct music perception from brain activity using source-localized EEG and neural decoding models. Examines whether EEG ISC reflects population music preferences using Billboard chart songs.,Controlled,Musical Excerpt,"17 on Billboard Japan Hot 100. 62-second edited clip including chorus and surrounding sections, normalized with fade-in and fade-out",Keyakizaka46,Kaze ni Fukarete mo,62 seconds,"Tonality, Tempo, EEG ISC, Principal Component Analysis","EEG during passive music listening followed by self-report of preference, enjoyment, frequency of listening, and arousal",17,"Healthy Japanese adults, mean age 21.4 ± 0.69, 7 female",Mixed Groups,"g.tec (BCI Research System), 30-channel setup","30 channels, 10-20 system","Higher-ranked music had significantly higher ISC values, suggesting greater listener engagement. Principal component analysis also revealed distinct clusters differing in arousal, tonality, and tempo—linking ISC to both emotional response and musical features.",512 Hz,"Lab with headphones, visual fixation cross",Not Reported,"Bandpass 1–60 Hz, 50Hz notch filter, ICA, CorrCA",CC BY,"ISC, CorrCA, PCA, clustering, GLM","t-test, ANOVA, Tukey’s HSD",Not Reported,Frontiers in Human Neuroscience Volume 17 (2023)
Inter-subject correlations of EEG reflect subjective arousal and acoustic features of music,"Fuyu Ueno, Sotaro Shimada",2023,https://doi.org/10.3389/fnhum.2023.1225377,NA,This study used concurrent EEG-fMRI and EEG-only recordings to reconstruct music perception from brain activity using source-localized EEG and neural decoding models. Examines whether EEG ISC reflects population music preferences using Billboard chart songs.,Controlled,Musical Excerpt,"18 on Billboard Japan Hot 100. 62-second edited clip including chorus and surrounding sections, normalized with fade-in and fade-out",Perfume,Tokyo Girl,62 seconds,"Tonality, Tempo, EEG ISC, Principal Component Analysis","EEG during passive music listening followed by self-report of preference, enjoyment, frequency of listening, and arousal",17,"Healthy Japanese adults, mean age 21.4 ± 0.69, 7 female",Mixed Groups,"g.tec (BCI Research System), 30-channel setup","30 channels, 10-20 system","Higher-ranked music had significantly higher ISC values, suggesting greater listener engagement. Principal component analysis also revealed distinct clusters differing in arousal, tonality, and tempo—linking ISC to both emotional response and musical features.",512 Hz,"Lab with headphones, visual fixation cross",Not Reported,"Bandpass 1–60 Hz, 50Hz notch filter, ICA, CorrCA",CC BY,"ISC, CorrCA, PCA, clustering, GLM","t-test, ANOVA, Tukey’s HSD",Not Reported,Frontiers in Human Neuroscience Volume 17 (2023)
Inter-subject correlations of EEG reflect subjective arousal and acoustic features of music,"Fuyu Ueno, Sotaro Shimada",2023,https://doi.org/10.3389/fnhum.2023.1225377,NA,This study used concurrent EEG-fMRI and EEG-only recordings to reconstruct music perception from brain activity using source-localized EEG and neural decoding models. Examines whether EEG ISC reflects population music preferences using Billboard chart songs.,Controlled,Musical Excerpt,"19 on Billboard Japan Hot 100. 62-second edited clip including chorus and surrounding sections, normalized with fade-in and fade-out",Suchmos,Stay Tune,62 seconds,"Tonality, Tempo, EEG ISC, Principal Component Analysis","EEG during passive music listening followed by self-report of preference, enjoyment, frequency of listening, and arousal",17,"Healthy Japanese adults, mean age 21.4 ± 0.69, 7 female",Mixed Groups,"g.tec (BCI Research System), 30-channel setup","30 channels, 10-20 system","Higher-ranked music had significantly higher ISC values, suggesting greater listener engagement. Principal component analysis also revealed distinct clusters differing in arousal, tonality, and tempo—linking ISC to both emotional response and musical features.",512 Hz,"Lab with headphones, visual fixation cross",Not Reported,"Bandpass 1–60 Hz, 50Hz notch filter, ICA, CorrCA",CC BY,"ISC, CorrCA, PCA, clustering, GLM","t-test, ANOVA, Tukey’s HSD",Not Reported,Frontiers in Human Neuroscience Volume 17 (2023)
Inter-subject correlations of EEG reflect subjective arousal and acoustic features of music,"Fuyu Ueno, Sotaro Shimada",2023,https://doi.org/10.3389/fnhum.2023.1225377,NA,This study used concurrent EEG-fMRI and EEG-only recordings to reconstruct music perception from brain activity using source-localized EEG and neural decoding models. Examines whether EEG ISC reflects population music preferences using Billboard chart songs.,Controlled,Musical Excerpt,"20 on Billboard Japan Hot 100. 62-second edited clip including chorus and surrounding sections, normalized with fade-in and fade-out",Sekai no Owari,Rain,62 seconds,"Tonality, Tempo, EEG ISC, Principal Component Analysis","EEG during passive music listening followed by self-report of preference, enjoyment, frequency of listening, and arousal",17,"Healthy Japanese adults, mean age 21.4 ± 0.69, 7 female",Mixed Groups,"g.tec (BCI Research System), 30-channel setup","30 channels, 10-20 system","Higher-ranked music had significantly higher ISC values, suggesting greater listener engagement. Principal component analysis also revealed distinct clusters differing in arousal, tonality, and tempo—linking ISC to both emotional response and musical features.",512 Hz,"Lab with headphones, visual fixation cross",Not Reported,"Bandpass 1–60 Hz, 50Hz notch filter, ICA, CorrCA",CC BY,"ISC, CorrCA, PCA, clustering, GLM","t-test, ANOVA, Tukey’s HSD",Not Reported,Frontiers in Human Neuroscience Volume 17 (2023)
